comparison,input_id,SYMBOL,ENTREZID,ENSEMBL,GENENAME,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,direction,significant
Microglia_3d_HI_vs_Control,Cadm1,Cadm1,54725,ENSMUSG00000032076,cell adhesion molecule 1,537.9145268302861,2.008058178284157,0.15267412630087246,13.152576844139974,1.644721939811464e-39,2.443195281543744e-37,Up,TRUE
Microglia_3d_HI_vs_Control,Lipa,Lipa,16889,ENSMUSG00000024781,lysosomal acid lipase A,901.3673772590244,1.9011089877256027,0.14484345410045107,13.125266858156776,2.3595012288587115e-39,3.4637478039645887e-37,Up,TRUE
Microglia_3d_HI_vs_Control,Psap,Psap,19156,ENSMUSG00000004207,prosaposin,13353.500973267477,1.1636378675903178,0.08870134010313244,13.118605268391256,2.576328036987817e-39,3.738072237852789e-37,Up,TRUE
Microglia_3d_HI_vs_Control,Ttyh2,Ttyh2,117160,ENSMUSG00000034714,tweety family member 2,349.23197500663144,2.7623034205563903,0.21099936188248025,13.091524997572757,3.6814137979808984e-39,5.2800783185293845e-37,Up,TRUE
Microglia_3d_HI_vs_Control,Hpgd,Hpgd,15446,ENSMUSG00000031613,hydroxyprostaglandin dehydrogenase 15 (NAD),882.6591889211545,-1.5763977316160325,0.12067039707604645,-13.063665735868815,5.310760821234511e-39,7.530417446291389e-37,Down,TRUE
Microglia_3d_HI_vs_Control,Lrba,Lrba,80877,ENSMUSG00000028080,LPS-responsive beige-like anchor,91.48188306015822,-3.4726087007871445,0.2660354857036045,-13.0531785697794,6.0950373409068e-39,8.54537931908259e-37,Down,TRUE
Microglia_3d_HI_vs_Control,Folr2,Folr2,14276,ENSMUSG00000032725,folate receptor beta,429.56691696095413,3.490034580089158,0.2674681923222882,13.048409793280427,6.488766437112072e-39,8.996314178031605e-37,Up,TRUE
Microglia_3d_HI_vs_Control,Ly9,Ly9,17085,ENSMUSG00000004707,lymphocyte antigen 9,289.6924780765031,3.654954544759208,0.28050513915346664,13.02990225344696,8.271354636296569e-39,1.134175419249545e-36,Up,TRUE
Microglia_3d_HI_vs_Control,Dpp7,Dpp7,83768,ENSMUSG00000026958,dipeptidylpeptidase 7,386.62770245882984,2.4799790392865897,0.19056861549666748,13.013575361415992,1.024348883536752e-38,1.3893288444316947e-36,Up,TRUE
Microglia_3d_HI_vs_Control,Plekho2,Plekho2,102595,ENSMUSG00000050721,"pleckstrin homology domain containing, family O member 2",566.8669591773081,2.287394362328368,0.17591886564139028,13.002552932504749,1.183262269806872e-38,1.587607161575285e-36,Up,TRUE
Microglia_3d_HI_vs_Control,Ier3,Ier3,15937,ENSMUSG00000003541,immediate early response 3,3211.6385229849207,2.1144686508455655,0.163741016210767,12.913494124916307,3.777622150312333e-38,5.014592467191201e-36,Up,TRUE
Microglia_3d_HI_vs_Control,Osm,Osm,18413,ENSMUSG00000058755,oncostatin M,1000.101490199851,4.0396261364716475,0.3137830648778643,12.873945692524916,6.309475743274475e-38,8.287330349955673e-36,Up,TRUE
Microglia_3d_HI_vs_Control,Ckb,Ckb,12709,ENSMUSG00000001270,"creatine kinase, brain",4237.730380815303,-1.2065413551577628,0.0939188537698801,-12.846636290025744,8.983217027738406e-38,1.167631063251248e-35,Down,TRUE
Microglia_3d_HI_vs_Control,Syngr1,Syngr1,20972,ENSMUSG00000022415,synaptogyrin 1,2526.5726081925886,1.3930994986101382,0.10897127894230442,12.784097902968764,2.011835769847015e-37,2.5880089418712424e-35,Up,TRUE
Microglia_3d_HI_vs_Control,Klf6,Klf6,23849,ENSMUSG00000000078,Kruppel-like transcription factor 6,1391.3538485085958,1.9950280867634633,0.15651392475659387,12.746649155121986,3.254353216962005e-37,4.143655045025704e-35,Up,TRUE
Microglia_3d_HI_vs_Control,Efhd2,Efhd2,27984,ENSMUSG00000040659,EF hand domain containing 2,1802.8941597532707,-1.3969522148634845,0.10990353350659648,-12.710712479318406,5.156249585119457e-37,6.498957810416221e-35,Down,TRUE
Microglia_3d_HI_vs_Control,Ptk2b,Ptk2b,19229,ENSMUSG00000059456,PTK2 protein tyrosine kinase 2 beta,330.8828426556872,1.9571785960862473,0.1542764713290199,12.686176830634418,7.0546219059661e-37,8.802757214264499e-35,Up,TRUE
Microglia_3d_HI_vs_Control,0610031J06Rik,0610031J06Rik,NA,NA,NA,1233.597680598001,1.3688893190774976,0.10823104129966918,12.647843933122001,1.149872094800839e-36,1.4206043563291952e-34,Up,TRUE
Microglia_3d_HI_vs_Control,Pcp4,Pcp4,18546,ENSMUSG00000090223,Purkinje cell protein 4,107.51378549218869,-3.731299514417725,0.2984364926562366,-12.502825915179677,7.204396622251252e-36,8.813378534554031e-34,Down,TRUE
Microglia_3d_HI_vs_Control,Lrpap1,Lrpap1,16976,ENSMUSG00000029103,low density lipoprotein receptor-related protein associated protein 1,971.7527843851451,1.6629945725028725,0.13340277661261926,12.465966711712065,1.1447508232679309e-35,1.3868156090036156e-33,Up,TRUE
Microglia_3d_HI_vs_Control,Slc16a3,Slc16a3,80879,ENSMUSG00000025161,"solute carrier family 16 (monocarboxylic acid transporters), member 3",387.10783506519334,3.4911633015591637,0.28048485930766875,12.446886830813371,1.4540702968438639e-35,1.7446047273093973e-33,Up,TRUE
Microglia_3d_HI_vs_Control,Lilrb4,Lilrb4,NA,NA,NA,486.9129355675771,6.8909403380043575,0.5546172775317518,12.42467665030477,1.9200117165963656e-35,2.281705352351376e-33,Up,TRUE
Microglia_3d_HI_vs_Control,Ifrd1,Ifrd1,15982,ENSMUSG00000001627,interferon-related developmental regulator 1,958.4711190307364,2.5928993834656118,0.20902386792950542,12.404800509863701,2.461249766180922e-35,2.8973089228684477e-33,Up,TRUE
Microglia_3d_HI_vs_Control,Acadl,Acadl,11363,ENSMUSG00000026003,"acyl-Coenzyme A dehydrogenase, long-chain",569.7194191122011,1.5334778469916417,0.12432887013100079,12.334044742591741,5.938906552236941e-35,6.925764108300239e-33,Up,TRUE
Microglia_3d_HI_vs_Control,Cd14,Cd14,12475,ENSMUSG00000051439,CD14 antigen,3032.9653256038296,3.0989218038629835,0.2513428395485872,12.329461262666802,6.286561896312261e-35,7.263307346498555e-33,Up,TRUE
Microglia_3d_HI_vs_Control,Ppp1r18,Ppp1r18,76448,ENSMUSG00000034595,"protein phosphatase 1, regulatory subunit 18",1659.0792666750376,-1.259523285704221,0.1026846132655744,-12.265939809761967,1.380017530953536e-34,1.57980355515947e-32,Down,TRUE
Microglia_3d_HI_vs_Control,Rgs10,Rgs10,67865,ENSMUSG00000030844,regulator of G-protein signalling 10,4200.795647753272,-1.2764902412924661,0.10428878394461424,-12.23995709807476,1.9013310746988227e-34,2.1568008318265373e-32,Down,TRUE
Microglia_3d_HI_vs_Control,Gnai2,Gnai2,14678,ENSMUSG00000032562,G protein subunit alpha i2,2581.661864369746,-1.836199545327831,0.15023822871181544,-12.221919554509656,2.374117878463176e-34,2.668850710582298e-32,Down,TRUE
