gene_symbol,n_groups,mean_log2FC
Zfp182,5,-0.13403458654101053
Safb,5,0.18859546056327933
Nedd4,5,0.0016210654749087006
Rps27a,5,0.04813497184027113
Psmb10,5,0.17777702931682918
Ranbp2,5,-0.034192455106929615
Nenf,5,0.2871567538400132
Acsl6,5,-0.11747775666374963
Ar,5,0.35492900595472743
Agpat3,5,-0.050183948235759404
Ppp1cb,5,-0.43630074203772573
Rbm14,5,-0.13943335408775667
Zmym2,5,-0.21624695759333215
Rpl36,5,0.2910850485161935
Pias2,5,-0.1643246580893922
S1pr1,5,-0.2532374119034265
Park7,5,0.15864647984829597
Zfp207,5,-0.10251796120529437
Rpl35a,5,0.11575050856883515
Ppp1r14b,5,0.13747030281111017
Ndufv3,5,0.07830754482219887
Zfp609,5,0.02257855143748976
Rpl36al,5,0.1371648428326899
Arfgef2,5,0.07812715400220115
Ankrd50,5,0.044345214026369754
2610008E11Rik,5,-0.14582439932858535
Arglu1,5,-0.16846265889947123
Rpl37,5,0.04072799186764759
Ptar1,5,-0.13826027785177822
Pcdh10,5,0.10117380442223749
Rai1,5,0.07567267378583023
Znhit2,5,0.2256334434399529
Psmd4,5,0.029939675295855124
Aak1,5,-0.07543326573257039
Nsd1,5,-0.03268205928559209
Rps26,5,0.1747305428968209
Rfng,5,0.07526662143239078
Rock2,5,-0.18534951488212165
Arfgef1,5,0.011237930038324628
Psmb6,5,0.1493895124689959
Ppm1k,5,0.007816683534639384
Arfgap1,5,0.27798810687020203
Romo1,5,0.1769340795995693
Arf5,5,-0.10669577351305845
Prrx1,5,-0.11304000673590402
Papola,5,-0.2931182768025676
Rpl10,5,-0.06772675067487623
Nlgn2,5,0.21087056278126193
Rpl18,5,0.0653988203869794
Rtl8c,5,-0.0035342944359101534
Akap10,5,0.22797430889419978
Rpl18a,5,0.07957844345409708
Rps8,5,-0.08393100855649983
Rps9,5,0.1356121507646174
Ap2s1,5,0.0996469147480239
Pitpnc1,5,-0.19307428243980793
Rpl24,5,-0.05423630361408537
Rtkn,5,0.3771567095942316
Acot11,5,0.2990109766691938
Prdx1,5,-0.135361880866841
Nme1,5,0.06068959032649066
Rfxap,5,0.7105739820202509
P2ry12,5,-0.347841048013976
Rrm2b,5,0.056589654531561374
Rpl3,5,-0.05163940373804282
Prkaa2,5,-0.19036853209075452
Rasal2,5,0.31189810861784545
Rpl31,5,0.0032761127088159294
Pikfyve,5,0.09002512403047734
Paf1,5,0.20253594675348674
Prrg1,5,-0.4335127996001311
Ppp1r9b,5,0.13594714396119217
Picalm,5,-0.157023421063366
Pank3,5,-0.23831694760640873
Pan3,5,1.6237236383813687
Zmat2,5,0.2262132832092522
Rps29,5,0.45126909377039853
Rpl35,5,0.1787539433897615
Nras,5,-0.07089691489791364
Aldoa,5,0.11139998184236925
Pik3c2a,5,-0.035715225712532786
Rpl13,5,0.10065194158828046
Ppp2r5a,5,-0.14382813744283637
Prpf8,5,0.11308064007494485
Nr4a3,5,-0.31427333528832924
Apmap,5,1.102155714316682
