accession,gse,comparison,treatment,treatment_class,control,symbol,log2FC,padj,direction,group
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,Cacng6,0.5648208296922205,0.0366891280328792,UP,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,Gm12827,1.4311766340027865,0.0367479008705739,UP,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,LOC118567597,1.69188075959995,0.036760578105281,UP,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,Gm12743,0.7237554625819512,0.036760578105281,UP,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,Spata32,0.6102007808981023,0.037113530325391,UP,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,Gm8615,-1.0189882571481192,0.0371434488119537,DOWN,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,Gm51455,-0.9959775569921224,0.0373470990109393,DOWN,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,LOC118568607,-0.8812658888684216,0.0373810060029116,DOWN,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,Stra6l,1.8622329296166928,0.0374115662147608,UP,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,Gm36500,0.5394475556331616,0.0374201418205939,UP,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,1700020A23Rik,1.6984516545298451,0.0374854824143559,UP,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,Daw1,0.9384987114635944,0.0379437168717135,UP,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,Ctnna3,0.9014731492290148,0.0380771868058815,UP,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,Gm41603,1.2532928104435452,0.0381350885765955,UP,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,Gm39215,0.9002360568353607,0.0383510829039032,UP,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,LOC118568293,0.95440136178005,0.0388064839143182,UP,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,BB218582,0.8552981263338008,0.0389003599801647,UP,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,Gm2694,0.778624642682337,0.0389361629085965,UP,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,LOC118568478,2.415419075702174,0.0389820062242474,UP,GLP1_Mono|agedst_hippocampus
