Accession,Condition,GeneSet,Term,NES,FDR
Acc8,Aging,Hallmark,prerank,0.5002212688348078,1.0
Acc8,Aging,Hallmark,prerank,-0.4814030295904931,1.0
Acc8,Aging,Hallmark,prerank,-0.47510640111898567,0.995418098510882
Acc8,Aging,Hallmark,prerank,0.41375516959031394,1.0
Acc8,Aging,Hallmark,prerank,0.3057552269496777,1.0
Acc10,TBI,Hallmark,prerank,2.5890830376731317,0.01
Acc10,TBI,Hallmark,prerank,2.1697629172148294,0.01
Acc10,TBI,Hallmark,prerank,-1.9503288987547027,0.01
Acc10,TBI,Hallmark,prerank,-1.5105642693837813,0.18032786885245902
Acc10,TBI,Hallmark,prerank,1.5005503368513224,0.2502628811777077
Acc10,TBI,Hallmark,prerank,1.4891230181023878,0.19652996845425869
Acc10,TBI,Hallmark,prerank,-1.447329130752367,0.1923497267759563
Acc10,TBI,Hallmark,prerank,1.4371846021533394,0.24378548895899052
Acc10,TBI,Hallmark,prerank,1.3960165035161123,0.25320715036803365
Acc10,TBI,Hallmark,prerank,-1.38768608050044,0.23743169398907105
Acc10,TBI,Hallmark,prerank,1.3787026269539246,0.23470031545741324
Acc10,TBI,Hallmark,prerank,1.363298904952403,0.2252365930599369
Acc10,TBI,Hallmark,prerank,-1.3312441748230877,0.3366120218579235
Acc10,TBI,Hallmark,prerank,-1.3273745389227103,0.28652094717668486
Acc10,TBI,Hallmark,prerank,1.2737441363353856,0.3611636873466526
Acc10,TBI,Hallmark,prerank,-1.2590653956686824,0.39328649492583917
Acc10,TBI,Hallmark,prerank,1.2371401048069683,0.4054258675078864
Acc10,TBI,Hallmark,prerank,-1.2105452243828623,0.4403005464480874
Acc10,TBI,Hallmark,prerank,1.198810158737324,0.45288213363923147
Acc10,TBI,Hallmark,prerank,-1.178879976092411,0.4528233151183971
Acc10,TBI,Hallmark,prerank,1.148003368395111,0.5439537329127235
Acc10,TBI,Hallmark,prerank,-1.1329635510010283,0.5337704918032787
Acc10,TBI,Hallmark,prerank,-1.1173868775522269,0.5256830601092897
Acc10,TBI,Hallmark,prerank,-1.0895678336475882,0.5540072859744991
Acc10,TBI,Hallmark,prerank,1.0894072069772023,0.6787672894928416
Acc10,TBI,Hallmark,prerank,-1.0873277822193288,0.516015132408575
Acc10,TBI,Hallmark,prerank,1.0809718330206963,0.6624605678233438
Acc10,TBI,Hallmark,prerank,1.0588316493208068,0.6807150368033649
Acc10,TBI,Hallmark,prerank,-1.0543052817925316,0.5727556596409056
Acc10,TBI,Hallmark,prerank,1.0406698829665013,0.6873028391167193
Acc10,TBI,Hallmark,prerank,1.0369349883917012,0.657784375579885
Acc10,TBI,Hallmark,prerank,-1.0274735370546653,0.6002914389799636
Acc10,TBI,Hallmark,prerank,-1.0252310679314975,0.5665300546448088
Acc10,TBI,Hallmark,prerank,-1.0065927624236397,0.5805850208936034
Acc10,TBI,Hallmark,prerank,-1.006056807592567,0.5483302975106253
Acc10,TBI,Hallmark,prerank,-0.9926659884363975,0.5485763589301121
Acc10,TBI,Hallmark,prerank,0.9797587166777187,0.7753242201191728
