input_id,SYMBOL,ENTREZID,ENSEMBL,GENENAME
1700023L04Rik,1700023L04Rik,NA,NA,NA
1700024B18Rik,1700024B18Rik,69393,ENSMUSG00000099994,RIKEN cDNA 1700024B18 gene
1700024F13Rik,1700024F13Rik,NA,NA,NA
1700024G13Rik,1700024G13Rik,67085,ENSMUSG00000072473,RIKEN cDNA 1700024G13 gene
1700024P04Rik,1700024P04Rik,NA,NA,NA
1700024P16Rik,1700024P16Rik,NA,NA,NA
1700025B11Rik,1700025B11Rik,76409,ENSMUSG00000101113,RIKEN cDNA 1700025B11 gene
1700025C18Rik,1700025C18Rik,72211,ENSMUSG00000078935,RIKEN cDNA 1700025C18 gene
1700025F22Rik,1700025F22Rik,NA,NA,NA
1700025F24Rik,1700025F24Rik,67081,ENSMUSG00000100558,RIKEN cDNA 1700025F24 gene
1700025G04Rik,1700025G04Rik,69399,ENSMUSG00000032666,RIKEN cDNA 1700025G04 gene
1700025K24Rik,1700025K24Rik,69418,ENSMUSG00000099747,RIKEN cDNA 1700025K24 gene
1700025M24Rik,1700025M24Rik,72276,ENSMUSG00000100175,RIKEN cDNA 1700025M24 gene
1700025N23Rik,1700025N23Rik,69986,ENSMUSG00000100121,RIKEN cDNA 1700025N23 gene
1700026D08Rik,1700026D08Rik,NA,NA,NA
1700026D11Rik,1700026D11Rik,70371,ENSMUSG00000086379,RIKEN cDNA 1700026D11 gene
1700026F02Rik,1700026F02Rik,69419,NA,RIKEN cDNA 1700026F02 gene
1700026L06Rik,1700026L06Rik,NA,NA,NA
1700027A15Rik,1700027A15Rik,NA,NA,NA
1700027F09Rik,1700027F09Rik,69999,NA,RIKEN cDNA 1700027F09 gene
1700027H10Rik,1700027H10Rik,72274,ENSMUSG00000100799,RIKEN cDNA 1700027H10 gene
1700027I24Rik,1700027I24Rik,75567,ENSMUSG00000098304,RIKEN cDNA 1700027I24 gene
1700027J07Rik,1700027J07Rik,69443,ENSMUSG00000111422,RIKEN cDNA 1700027J07 gene
1700028B04Rik,1700028B04Rik,70001,ENSMUSG00000099417,NADH dehydrogenase (ubiquinone) 1 beta subcomplex 8 pseudogene
1700028D13Rik,1700028D13Rik,75569,ENSMUSG00000101683,RIKEN cDNA 1700028D13 gene
1700028E10Rik,1700028E10Rik,625175,ENSMUSG00000097321,RIKEN cDNA 1700028E10 gene
1700028I16Rik,1700028I16Rik,70003,ENSMUSG00000056821,RIKEN cDNA 1700028I16 gene
1700028J19Rik,1700028J19Rik,70004,ENSMUSG00000038782,RIKEN cDNA 1700028J19 gene
1700028K03Rik,1700028K03Rik,76421,ENSMUSG00000089798,RIKEN cDNA 1700028K03 gene
1700028M03Rik,1700028M03Rik,69460,ENSMUSG00000101334,RIKEN cDNA 1700028M03 gene
1700028P14Rik,1700028P14Rik,NA,NA,NA
1700028P15Rik,1700028P15Rik,75655,ENSMUSG00000086823,RIKEN cDNA 1700028P15 gene
1700029B22Rik,1700029B22Rik,69495,ENSMUSG00000100759,RIKEN cDNA 1700029B22 gene
1700029F12Rik,1700029F12Rik,66479,ENSMUSG00000052075,RIKEN cDNA 1700029F12 gene
1700029H14Rik,1700029H14Rik,66501,ENSMUSG00000031452,RIKEN cDNA 1700029H14 gene
1700029I15Rik,1700029I15Rik,NA,NA,NA
