SYMBOL,ENTREZID,ENSEMBL,GENENAME
Ergic1,67458,ENSMUSG00000001576,endoplasmic reticulum-golgi intermediate compartment 1
Tnk1,83813,ENSMUSG00000001583,"tyrosine kinase, non-receptor, 1"
Acap1,216859,ENSMUSG00000001588,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"
Tcea3,21401,ENSMUSG00000001604,"transcription elongation factor A (SII), 3"
Csn3,12994,ENSMUSG00000001622,casein kappa
Ifrd1,15982,ENSMUSG00000001627,interferon-related developmental regulator 1
Stk38l,232533,ENSMUSG00000001630,serine/threonine kinase 38 like
Brpf1,78783,ENSMUSG00000001632,"bromodomain and PHD finger containing, 1"
Akr1b3,NA,NA,NA
Gstt1,14871,ENSMUSG00000001663,"glutathione S-transferase, theta 1"
Gstt3,103140,ENSMUSG00000001665,"glutathione S-transferase, theta 3"
Ddt,13202,ENSMUSG00000001666,D-dopachrome tautomerase
Tat,234724,ENSMUSG00000001670,tyrosine aminotransferase
Marveld3,73608,ENSMUSG00000001672,MARVEL (membrane-associating) domain containing 3
Ddx18,66942,ENSMUSG00000001674,DEAD box helicase 18
Ubl3,24109,ENSMUSG00000001687,ubiquitin-like 3
Gramd3,NA,NA,NA
Eef1e1,66143,ENSMUSG00000001707,eukaryotic translation elongation factor 1 epsilon 1
Akt1,11651,ENSMUSG00000001729,thymoma viral proto-oncogene 1
Cldn15,60363,ENSMUSG00000001739,claudin 15
Il16,16170,ENSMUSG00000001741,interleukin 16
Tcirg1,27060,ENSMUSG00000001750,"T cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 protein A3"
Naglu,27419,ENSMUSG00000001751,alpha-N-acetylglucosaminidase (Sanfilippo disease IIIB)
Coasy,71743,ENSMUSG00000001755,Coenzyme A synthase
Smo,319757,ENSMUSG00000001761,"smoothened, frizzled class receptor"
Tspan33,232670,ENSMUSG00000001763,tetraspanin 33
Crnkl1,66877,ENSMUSG00000001767,crooked neck pre-mRNA splicing factor 1
Rin2,74030,ENSMUSG00000001768,Ras and Rab interactor 2
Folh1,53320,ENSMUSG00000001773,folate hydrolase 1
Chordc1,66917,ENSMUSG00000001774,cysteine and histidine rich domain containing 1
Rtcb,28088,ENSMUSG00000001783,"RNA 2',3'-cyclic phosphate and 5'-OH ligase"
Pwp1,103136,ENSMUSG00000001785,"PWP1 homolog, endonuclein"
Fbxo7,69754,ENSMUSG00000001786,F-box protein 7
Capns1,12336,ENSMUSG00000001794,"calpain, small subunit 1"
