ID,logFC
Tmbim1,1.5684062956698153
Gm7328,-1.5558401046139625
Wasf1,-1.5535703619198902
Dnajc6,-1.5483692343817228
Galnt17,-1.5430153862680551
Itprip,1.5382003539935631
Slc8a1,-1.5370484326049352
Cnih3,-1.5350390942163583
Gabrb2,-1.528694913172803
Sox3,1.52292131424785
Arhgap28,1.51486368365003
Ifrd1,1.5103256858572385
Mturn,-1.507932984830196
Galnt16,-1.5015958079941616
Fbxo41,-1.4991391550657225
Apba1,-1.4965175650455322
Pde1a,-1.496172434308713
A930011g23rik,1.4953418462190835
Pcdhgc5,-1.48761006563455
Adcy1,-1.4835382493889917
Dll4,1.474733942100854
Uaca,1.4545643147507503
Myo5b,-1.4472599185015025
