"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_2789650",-0.0896491933333332,0.948771922857143,-1.49633188002925,0.154476207290305,0.487928227250183,-5.37225584062527
"ILMN_3155815",-0.0930417933333331,0.946833204285714,-1.49626822321474,0.154492629002096,0.487928227250183,-5.3723420495363
"ILMN_2819873",-0.0910173099999997,0.947990058571429,-1.49621259929438,0.154506979639398,0.487928227250183,-5.3724173774599
"ILMN_3008733",-0.101787428333333,0.941835708571429,-1.49615316558132,0.154522314408763,0.487928227250183,-5.37249786244421
"ILMN_2756762",-0.0854639883333331,0.951163468571429,-1.49599561128101,0.154562971870199,0.487996644323443,-5.37271121058987
"ILMN_1226499",-0.0809255074999998,0.953756752857143,-1.49577551705602,0.154619782921706,0.488116039525686,-5.37300921764416
"ILMN_2722659",-0.0949130325,0.945763981428571,-1.49555091506594,0.154677775473741,0.488210098707934,-5.3733132946251
"ILMN_2643786",0.0843291841666669,1.04818808857143,1.49551296762865,0.154687575346538,0.488210098707934,-5.37336466634196
"ILMN_2715857",-0.0840358083333333,0.951979571428571,-1.49540181449601,0.154716283467244,0.488215505012733,-5.37351513541741
"ILMN_2745532",0.0858907416666668,1.04908045714286,1.49535921837769,0.154727286174405,0.488215505012733,-5.37357279599452
"ILMN_1240323",0.119128766666667,1.06807351428571,1.49518318027722,0.154772764271703,0.488299045241247,-5.37381107843881
"ILMN_2638171",-0.0993388633333333,0.943234958571429,-1.49487975804829,0.154851177243503,0.488486459811724,-5.37422173714151
"ILMN_2689560",-0.0908936633333331,0.948060747142857,-1.49445408678317,0.154961238678953,0.488769988090646,-5.37479774614542
"ILMN_1236133",0.114782891666667,1.06559020714286,1.49438504098089,0.154979097286165,0.488769988090646,-5.37489116591723
"ILMN_1221212",-0.0823542424999999,0.952940452857143,-1.49405352115284,0.155064868355871,0.488980478849038,-5.37533967141211
"ILMN_2449563",-0.0783866049999999,0.955207654285714,-1.49374665759716,0.155144295593872,0.489104519705189,-5.37575475408763
"ILMN_2871929",-0.0938105833333331,0.946393885714286,-1.4937269193368,0.155149405720479,0.489104519705189,-5.37578145111309
"ILMN_2708415",-0.0836844783333332,0.952180331428571,-1.49368096104178,0.155161304612862,0.489104519705189,-5.37584361108527
"ILMN_2955129",-0.0990705733333331,0.943388197142857,-1.49307886698941,0.155317260822987,0.489419811505784,-5.3766578300038
"ILMN_2701271",0.117791129166667,1.06730925,1.49302033483447,0.155332428962178,0.489419811505784,-5.37673697071236
"ILMN_2751948",0.1127478,1.06442721428571,1.49300445938725,0.155336543169983,0.489419811505784,-5.37675843533914
"ILMN_1245874",-0.0945015174999998,0.945999052857143,-1.49296406057024,0.155347013150964,0.489419811505784,-5.37681305637538
"ILMN_2747281",0.0810531416666669,1.04631611428571,1.49292724366762,0.155356555335357,0.489419811505784,-5.37686283354337
