comparison,SYMBOL,ENTREZID,ENSEMBL,GENENAME,logFC,AveExpr,t,P.Value,adj.P.Val,B,direction,significant
WT_6h_ipsilateral_vs_contralateral,Lrp12,239393,ENSMUSG00000022305,low density lipoprotein-related protein 12,-0.5424378848048796,10.40744649276296,-4.4483776141778435,0.0019467560208544794,0.027136414495953397,-1.3664115419089882,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Fam118a,73225,ENSMUSG00000022434,"family with sequence similarity 118, member A",0.6128218287649556,9.05507222419906,4.447166100846849,0.0019499838801207091,0.0271644095870474,-1.3681440577930903,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Wwtr1,97064,ENSMUSG00000027803,WW domain containing transcription regulator 1,0.9465616561261552,10.150009298122729,4.611398447526857,0.001955114760842211,0.027207102790790253,-1.3010005553114539,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Pprc1,226169,ENSMUSG00000055491,"peroxisome proliferative activated receptor, gamma, coactivator-related 1",0.6710270192615742,9.027424392731502,4.445103936891849,0.0019554914284199863,0.027207102790790253,-1.3710935296658109,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Slc4a10,94229,ENSMUSG00000026904,"solute carrier family 4, sodium bicarbonate cotransporter-like, member 10",-0.6144021147564569,11.326734079695255,-4.442553708275598,0.001962325696712144,0.02728514662563234,-1.3747419228443727,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Prrx2,20204,ENSMUSG00000039476,paired related homeobox 2,1.1830438136721382,5.824067579151038,4.441683826063043,0.0019646627522671876,0.027286751870280866,-1.3759866041452105,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Mgam,232714,ENSMUSG00000068587,maltase-glucoamylase,-2.03077745780831,4.016083236562272,-4.441598879468506,0.0019648911335546806,0.027286751870280866,-1.3761081568633147,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Wrap53,216853,ENSMUSG00000041346,"WD repeat containing, antisense to Trp53",0.7751769530127266,7.510868256692772,4.439490555539213,0.001970568605353164,0.027337217654909592,-1.3791253578262284,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Heatr5a,320487,ENSMUSG00000035181,HEAT repeat containing 5A,0.7565780512651035,8.313965658158759,4.43933817138246,0.001970979643267556,0.027337217654909592,-1.379343458187397,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Sh3tc1,231147,ENSMUSG00000036553,SH3 domain and tetratricopeptide repeats 1,1.2163598464445293,6.157529476719138,4.438872732731047,0.0019722356806325665,0.027337616543926833,-1.3800096397140358,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Tmem115,56395,ENSMUSG00000010045,transmembrane protein 115,0.647111556046216,9.583044739495291,4.4372856808043935,0.001976525009019828,0.027380033940246684,-1.3822814201467697,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Pcdhb17,93888,ENSMUSG00000046387,protocadherin beta 17,-0.7715201546746107,8.049869263829432,-4.436547257727015,0.001978524175085945,0.027390693598532894,-1.3833385577961534,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Fam131c,277743,ENSMUSG00000006218,"family with sequence similarity 131, member C",1.0412053535368386,7.782370643142386,4.434502670823305,0.0019840709642417868,0.0274504228127241,-1.3862660310896313,Up,TRUE
