gene_symbol,mean_log2FC
Fance,1.978031749855857
Far1,-0.5635678073786262
Far1os,-0.5198247147025963
Fau,0.6695411667886773
Faxc,0.5827241873220536
Fbxo2,0.6157395930675138
Fbxo32,4.158414905648476
Fbxw23,-1.237628806807189
Fbxw4,3.5425168551740893
Fcho2,-0.5821750531474424
Fcnaos,1.2649873623484358
Fcor,1.1150617727065333
Fcrlb,0.5557282019071792
Fdx2,0.5932624415742361
Fer1l5,9.138743730578463
Fezf1,0.622906270471515
Fgd3,-0.6090256553481022
Fgf22,0.8370487492662932
Fgf23,1.0080112995541533
Fgf2os,2.9697252602121305
Fgf7,0.7116328360135442
Fis1,0.6282538448612973
Fkbp2,0.6883556715779338
Fkbp5,1.091452767277446
Fli1,-0.5358482089561023
Flicr,0.7781078782597817
Flna,6.665944374236166
Flywch2,0.7691395657335343
Fmc1,0.6422065099922768
Fmnl3,9.294806237303957
Fmo2,0.6264491742204048
Fmo5,-2.979088569076589
Fmr1,-0.5023747772356718
Fndc3a,-0.5024134047551231
Fnip2,6.821582101549018
Fos,-0.2229281123751574
Fosb,0.5959772256857931
Fosl1,0.6657723636189593
Fosl2,0.7370593710031859
Foxb1,-0.8629698007561438
Foxh1,0.5441540788399547
Foxo1,-0.5196406253445556
Foxo6,-0.6441259683347638
Frat2,0.6183434396517555
Frem2,-0.5936652840039194
Frmpd1,-0.562610764817394
Fsd1l,-0.5543296009745871
Fsip1,0.5331494208206908
Fstl4,-0.5485439879253252
Fus,0.8624742285256264
Fut9,-0.8601228610859412
Fxyd1,0.5975556917612241
Fxyd2,0.6697997630761009
Fyn,2.260464333866312
Fzd10,-1.0184063084345816
G2e3,-0.6736413760338712
G630016g05rik,0.7189590969426828
Gab1,-0.5534072192244667
Gabpb1,-1.4010012725249053
Gabrb2,-0.029128599132716815
Gabrg1,-0.5075636310187102
Gabrr2,0.6584568518234016
Gadd45g,0.6432477604997249
Gale,0.5997614162460322
Galk1,0.5633383600734454
Galm,-9.489599865623925
Galnt15,0.7151001437620055
Galr3,-0.675211934798528
Gamt,0.6310938629780138
Gan,0.8400645589434586
Gar1,0.39673213242954425
Gas5,0.7230419698888162
Gbp10,-2.6328645570802567
Gbp2,0.5197564242
Gbp3,0.6540491634
Gbp4,-0.5947873231507134
Gbp5,0.7635689523787654
Gbp9,-0.20915250143486827
Gck,0.6422760635868274
Gclm,1.9237347290027724
Gcnt7,0.9726686102258498
Gdf1,-0.07036846962329973
Ggnbp1,0.5027796433991488
Ghrh,0.5066416643881543
Ghsr,0.6886637880523995
Gimap6,0.599356720734892
Gimap9,1.271438937665376
Gipc1,-0.5143169770426864
Gjb2,0.7022713246022227
Gjc3,-2.287275176453532
Gjd3,0.7452140712763471
Glp1r,-2.2692409992255014
Glra1,0.7928316359384857
Glra3,-0.5840018769821111
Glrx,-1.0654434619573114
Glrx5,2.238315240198302
Glud1,1.1241184595070393
Gm10010,0.7404894000967182
Gm10030,0.9282403515840532
Gm10033,-0.5941902475044283
Gm10138,0.6056488987497972
Gm10145,-1.912975658013021
Gm10157,-1.565191412822603
Gm10209,1.41551332202234
Gm10221,0.6737063033044456
Gm10224,-1.6900102072189913
Gm10226,-1.337370131879167
Gm10382,0.9184993878548371
Gm10509,-0.6667306386831923
Gm10644,-0.5391993195350606
Gm10762,-0.5930393266139852
Gm10840,0.634242621785377
Gm10874,-0.9410969106183715
Gm10910,1.2283321721163087
Gm11478,-1.2463570900042882
Gm11532,0.75128572112533
Gm11592,0.991410152782866
Gm11655,1.6236732719806046
Gm11703,-1.8172180289532085
Gm11725,0.7046206843290993
Gm11750,1.1137112138112384
Gm11762,0.6881896107083727
Gm11769,0.6394378557046827
Gm11872,0.6668182117041851
Gm12070,-1.3508329764246174
Gm12144,9.992370468830805
Gm12174,-1.4664068506910715
Gm12227,1.788463337674064
Gm12326,0.8918751495692394
Gm12350,-1.6055290153669093
