gene_symbol,group,log2FC,padj,direction
Tent5a,Acc5_nts_IP118_PY115,0.7830007185177369,0.0176398552801624,UP
Il1r1,Acc5_nts_IP118_PY115,0.9566349688348372,0.0184469083727497,UP
Fosl2,Acc5_nts_IP118_PY115,1.9129599705195568,0.0185144107432648,UP
Nr4a3,Acc5_nts_IP118_PY115,1.1494804028903285,0.0185144107432648,UP
Net1,Acc5_nts_IP118_PY115,0.583734513077868,0.0185144107432648,UP
Fkbp5,Acc5_nts_IP118_PY115,0.576010445373941,0.0185144107432648,UP
Smim3,Acc5_nts_IP118_PY115,0.631666187791977,0.0240649300779319,UP
Nptx2,Acc5_nts_IP118_PY115,1.3523469442702056,0.0244714198511889,UP
Plekho2,Acc5_nts_IP118_PY115,-0.5382976287400971,0.0360209735701398,DOWN
Fos,Acc5_nts_IP118_PY115,1.5129362046143422,0.0468252449143695,UP
Sult1a1,Acc5_nts_IP118_PY115,0.8615208856024891,0.049288105582861,UP
Zbtb16,Acc5_pvn_IP118_PY115,1.1594731060946444,2.617570604431246e-05,UP
Map3k6,Acc5_pvn_IP118_PY115,0.908600087696785,0.0002915104782741,UP
Hs3st2,Acc5_pvn_IP118_PY115,1.9593771716408168,0.0004417011803651,UP
Setx,Acc5_pvn_IP118_PY115,0.5146470486235808,0.0004876786752364,UP
Nptx2,Acc5_pvn_IP118_PY115,1.3746956272620354,0.0009443196589287,UP
Fkbp5,Acc5_pvn_IP118_PY115,0.6543317624357061,0.0010747245190544,UP
Fam107b,Acc5_pvn_IP118_PY115,1.2616303389225236,0.0012439971717833,UP
Plekho2,Acc5_pvn_IP118_PY115,-0.6418758046135085,0.0018162234617636,DOWN
Arl4d,Acc5_pvn_IP118_PY115,0.9712620371156342,0.0051106896028686,UP
Arhgef3,Acc5_pvn_IP118_PY115,0.5200444377325586,0.0079401041900032,UP
Lancl3,Acc5_pvn_IP118_PY115,0.5018389145158607,0.0093629929485937,UP
Irak3,Acc5_pvn_IP118_PY115,1.3752182984546235,0.0098318623204767,UP
St3gal1,Acc5_pvn_IP118_PY115,0.5863793332128603,0.0102167222774153,UP
Net1,Acc5_pvn_IP118_PY115,0.5907808186616815,0.0140884713098713,UP
Cdkn1a,Acc5_pvn_IP118_PY115,1.4819677804759148,0.0146208748772318,UP
Galnt15,Acc5_pvn_IP118_PY115,0.6285097642716405,0.0169032815142685,UP
Maff,Acc5_pvn_IP118_PY115,1.1926144722242298,0.0176401375278702,UP
Tekt4,Acc5_pvn_IP118_PY115,0.8433772830353379,0.0248157114866786,UP
Fosb,Acc5_pvn_IP118_PY115,1.745229956588727,0.0355196410494673,UP
Adap2,Acc5_pvn_IP118_PY115,0.637552228528279,0.0398379314875492,UP
Lonrf3,Acc5_pvn_IP118_PY115,0.5360864333103621,0.0403207593855752,UP
Slc2a1,Acc5_pvn_IP118_PY115,0.5319926422779415,0.0431753348948774,UP
Itpr3,Acc6_dvc_AC3174,-10.074276687836418,0.0007379563713289,DOWN
Zfp385c,Acc6_dvc_AC3174,6.407215773945922,0.0007379563713289,UP
Slc5a11,Acc6_dvc_AC3174,-43.28070939472687,0.0015514439430135,DOWN
