gene_symbol,n_groups_hibi,predominant_direction_hibi,mean_log2FC_hibi,n_groups_glp1r,predominant_direction_glp1r,mean_log2FC_glp1r,direction_concordant
Slc44a5,4,DOWN,-0.6807918274338083,2,DOWN,-0.4708905663758482,True
Zfp804a,4,DOWN,-0.7062766259295139,2,DOWN,-0.3037222961256508,True
Slc36a1,4,DOWN,-0.7226613986244836,2,DOWN,-0.246121223370347,True
Col25a1,4,DOWN,-0.7999920586069243,2,DOWN,-0.2352177930888956,True
Clasp2,4,DOWN,-0.8053967799751945,2,DOWN,-0.2730260031989863,True
Nos1,4,DOWN,-0.8706905013744031,2,DOWN,-0.3063693301630752,True
Slc29a3,4,DOWN,-0.9258398164579256,2,DOWN,-5.678382543169949,True
Cx3cr1,4,DOWN,-0.941358403152962,2,DOWN,-0.2821883566867305,True
Shisa6,4,DOWN,-1.0828756697949515,2,DOWN,-0.2663327643318551,True
Ano3,4,DOWN,-1.106512040349959,2,DOWN,-0.3106190802136434,True
Miat,4,UP,-1.110281410616518,2,UP,0.5829503394245565,True
Sall1,4,DOWN,-1.1374766788271056,2,DOWN,-0.3690979430665114,True
Cdh9,4,DOWN,-1.2190620040365532,2,DOWN,-0.4033933780674292,True
Pcsk1,4,DOWN,-1.3295790976502069,2,DOWN,-0.3987473430018103,True
Erf,4,UP,-1.3772603148124336,2,UP,0.7683416701952526,True
Rbfox2,4,DOWN,-1.7082383646465438,2,DOWN,-0.35069606355,True
Kit,4,DOWN,-1.7293075419329813,2,DOWN,-0.2554439244663841,True
Gabra1,4,DOWN,-1.82903324838623,2,DOWN,-0.3478860489977006,True
Nptx1,4,DOWN,-2.1954505454534283,2,DOWN,-0.2937916661963059,True
Syn1,4,DOWN,-2.434064206267722,2,DOWN,-0.3969766527147392,True
Mpp5,3,DOWN,-0.5350517175074995,9,DOWN,-0.2417417529338782,True
Ednrb,3,DOWN,-0.6356760916376585,8,DOWN,-0.4194065269906772,True
Dbp,3,UP,1.0854541139853584,7,UP,0.446249133362194,True
Msantd2,3,UP,0.8336334275595408,7,UP,2.15899109320343,True
Mertk,3,UP,0.5492017815050616,7,UP,1.4320253568647223,True
Kbtbd7,3,DOWN,-0.5060365010367409,6,DOWN,-0.2273273932253418,True
Chm,3,DOWN,-0.5822229354460494,6,DOWN,-0.2708778081062225,True
Cacnb4,3,DOWN,-1.459516503771369,6,DOWN,-0.3223760436019577,True
Vcpip1,3,DOWN,-0.13435335304685,5,DOWN,-0.1761765101790098,True
Picalm,3,DOWN,-0.2593794516702106,5,DOWN,-0.0370446041074853,True
