ID,logFC
Cnot6,-0.1895650018936709
Pcdh7,-0.1895890767542568
Cpd,-0.1938308068538058
Osbpl8,-0.1939702145939348
Avl9,-0.1962600390863677
Tram1,-0.1969112744226744
Atl2,-0.2092767932734395
Mbnl2,-0.2102878565123246
Abhd17b,-0.2113213273986865
Lrrc8b,-0.2113349376045936
Kctd12,-0.2114450751063209
Swt1,-0.2144478735970814
Hnrnpa2b1,-0.2148199539097187
Lamp2,-0.2159072164661281
Washc4,-0.2160474523222724
Serp1,-0.2193091194593025
Bmpr1b,-0.2211489342710032
Lhfpl3,-0.2214347311805305
Wwp1,-0.2247105413103416
Ptar1,-0.2259314587832517
Raph1,-0.2281174726425821
Far1,-0.2301927819772378
Tsc22d2,-0.2305472964254652
Lmbrd2,-0.2318872839463983
Cpeb2,-0.2326661852044656
Arsk,-0.2431955319460303
Zmpste24,-0.2523549868095111
Slx4ip,-0.2548675131053916
Xk,-0.2550139481587927
Chrm2,-0.2551816236981007
Tmem229a,-0.2601031673277164
Rabgap1l,-0.2606559073236038
Uty,-0.2625352238453974
Uba6,-0.2687924531676426
Lonrf1,-0.2731806516145835
Zfp654,-0.2740319887714427
Yme1l1,-0.2740982929734489
Zbtb41,-0.2753479370089668
Cadm2,-0.2776352216396206
Pdlim5,-0.2822939153663227
Wdr37,-0.2836497180990326
Mpzl1,-0.2845502723387488
Tmem63b,-0.2846899125031327
Klhl9,-0.2850028993612898
Hspa5,-0.2850520245902049
Bach1,-0.2941615002927751
Mex3c,-0.2953383756390772
Tle4,-0.2965258476519307
Mllt3,-0.3110496642716241
Aqp4,-0.3169237495161019
Plekho2,-0.3220528202255565
Tlcd4,-0.3226794236733201
Itgb8,-0.3244587714043198
P4ha1,-0.3246654809779801
Trib2,-0.3301118905388532
Rorb,-0.3536343288356122
Matr3,-0.3579032703955682
Lrrtm2,-0.3665663425336878
Gabra2,-0.3702533879417689
Chic1,-0.4065938395053328
Prrg1,-0.427162325799994
Ugt8a,-0.4388888376358036
Qk,-0.4646585615216658
Slc5a3,-0.4652836990931009
Inhba,-0.4656535736315835
Tlr3,-0.4691118935910404
Cd93,-0.4753764474273933
Phf6,-0.4870418814211119
Map3k9,-0.5118183527579179
Myo1e,8.967952093662872
Dock5,8.461636652135624
Nwd2,8.440975333889975
Brwd3,8.122480546002343
Tm7sf2,7.621085688227637
Epha10,7.510529808677234
Cgnl1,7.375259987283477
Fam167a,7.037847197536861
Ccdc78,6.80585773447323
Gpr179,5.7057247912872295
Adap2,5.665967471662465
Tmem131l,5.632702306968532
Pxdn,5.336716555247742
Eya1,5.143643887591415
Kcng1,5.002250295442206
Zfp385c,4.885976749177439
Rexo5,4.672922506173903
9130221h12rik,4.107677161333927
Sema6a,3.475829329923015
Rbl1,2.5835494242362427
Kdr,2.579222388751128
Pan3,2.07233035922252
Taf10,1.7381828227614875
Hnrnpab,1.6373084563441906
Apmap,1.630541890946446
Rab24,1.3203934698705773
Rfxap,1.1518467514741284
Oprm1,1.1434624237337654
Plxna4,1.1083829627399555
Prkaca,0.9564396981855304
Kctd3,0.8437859274018078
Rps29,0.8279122704220241
Glud1,0.7856806674722964
Clec2d,0.7663360860163909
